name,cosmetic,rate
Veronica,Sun Lotion 50 SPF,5
Marta,Ceramic Slip Cleanser,5
Gabi,TIME RESPONSE Vintage Wash-off Masque,4
Fatima,Ever-Matte Poreless Priming Perfector,2
Vitoria,Cooling Water,2
Bia,Epidermal Re-Texturizing Micro-Dermabrasion,1
Nazare,By All Greens™ Foaming Deep Cleansing Mask,3
Julia,Hydrating Eye Cream,4
Sheila,Green Clean Makeup Meltaway Cleansing Balm with Echinacea GreenEnvy™,1
Alex,Rose Deep Hydration Face Serum,3
Jung Kim,MOISTURE BOUND Rejuvenating Eye Treatment Gel,1
Paula,MOUSSE RADIANCE Clarifying Self-Foaming Cleanser,5
Carla,Minus Serum,4
Paloma,Bio-Performance Advanced Super Revitalizing Cream,2
Larissa,The Concentrate Mini,2
Jessica,Argan Daily Moisturizer Tinted SPF 47 Protect + Perfect,3
Joana,Clear Complexion Willow Bark Spot Treatment,5
Maria,Miraculous Anti-wrinkle Miracle Worker,5
Jamilis,The Essence Plumping Skin Softener,0
